,depth,sn,sp,ild,cild,dt,sn_top,interval
0,884.0,0.9567,-101.5905,0.8139,-11.7056,,0.0,
1,884.5,1.7501,-101.6107,0.082,-11.2831,,0.0,
2,885.0,3.0647,-101.631,0.438,-10.8606,,0.0,
3,885.5,4.4502,-101.4151,3.2964,-10.4381,,0.0,
4,886.0,6.7808,-97.6247,10.8958,-10.0156,,0.0,
5,886.5,7.9905,-93.5314,27.8396,-9.593,,0.0,
6,887.0,8.6287,-89.3969,25.361,-9.1705,,0.0,
7,887.5,9.0426,-84.2517,16.7584,-8.748,,0.0,
8,888.0,9.2605,-77.9398,22.6409,-8.3255,,0.0,
9,888.5,9.5286,-70.342,33.8372,-7.903,,0.0,
10,889.0,9.7359,-62.3542,18.4482,53.0228,,0.0,
11,889.5,9.8069,-57.068,12.2676,98.9367,,0.0,
12,890.0,9.878,-54.1432,19.6292,96.2183,,0.0,
13,890.5,9.949,-52.3335,18.8796,80.9793,,0.0,
14,891.0,10.016,-51.276,12.7372,50.8453,,0.0,
15,891.5,10.0774,-50.5909,15.6476,12.7262,,0.0,
16,892.0,10.1388,-49.9868,9.9241,10.259,,0.0,
17,892.5,10.2002,-49.4186,17.3132,51.4258,,0.0,
18,893.0,10.2616,-48.957,9.4688,100.0785,,0.0,
19,893.5,10.2933,-48.4898,6.8782,131.0955,,0.0,
20,894.0,10.3086,-48.0843,6.5025,147.72,,0.0,
21,894.5,10.2886,-47.7742,7.1798,142.0608,,45.0,
22,895.0,10.2658,-47.3273,8.1456,126.1547,,0.0,0.0
23,895.5,10.243,-46.5723,8.8405,113.0988,,0.0,0.0
24,896.0,10.2203,-46.0885,9.0805,108.9175,,0.0,0.0
25,896.5,10.1975,-45.8852,9.1814,107.6049,,0.0,0.0
26,897.0,10.1747,-45.9749,9.147,107.1136,,0.0,0.0
27,897.5,10.189,-45.9587,9.2208,106.6222,,0.0,0.0
28,898.0,10.2906,-45.594,9.3216,105.8833,,0.0,0.0
29,898.5,10.3921,-45.0946,9.4427,104.7997,,0.0,0.0
30,899.0,10.5036,-44.6853,9.5483,103.677,,0.0,0.0
31,899.5,10.7275,-44.7258,9.6247,102.7989,,0.0,0.0
32,900.0,10.8414,-45.1128,9.6676,102.2008,,0.0,0.0
33,900.5,10.8929,-45.5861,9.7099,101.2992,,0.0,0.0
34,901.0,10.823,-45.8293,9.7523,100.7463,,0.0,0.0
35,901.5,10.7475,-45.8149,9.7946,100.4105,,0.0,0.0
36,902.0,10.7516,-45.6602,9.837,99.8196,,0.0,0.0
37,902.5,10.806,-45.5836,9.8793,99.6255,,0.0,0.0
38,903.0,10.8679,-45.5536,9.9217,99.4265,,0.0,0.0
39,903.5,10.9264,-45.5449,9.964,98.7429,,0.0,0.0
40,904.0,10.982,-45.5854,10.0074,97.4477,,0.0,0.0
41,904.5,11.0946,-45.4535,10.076,97.4956,,0.0,0.0
42,905.0,11.2011,-45.2829,10.1446,97.0304,,0.0,0.0
43,905.5,11.2378,-45.0455,10.2047,96.8178,,0.0,0.0
44,906.0,11.2388,-44.6597,10.2549,96.8651,,0.0,0.0
45,906.5,11.2848,-44.358,10.3052,96.7474,,0.0,0.0
46,907.0,11.3394,-44.1146,10.3555,96.4576,,0.0,0.0
47,907.5,11.3458,-43.7792,10.3909,96.2907,,0.0,0.0
48,908.0,11.312,-43.0861,10.3721,96.2223,,0.0,0.0
49,908.5,11.3152,-42.3775,10.3293,96.4175,,0.0,0.0
50,909.0,11.3441,-42.1043,10.2847,96.6684,,0.0,0.0
51,909.5,11.376,-41.6183,10.1999,96.9031,,0.0,0.0
52,910.0,11.44,-40.8617,10.1276,96.9303,,0.0,0.0
53,910.5,11.4785,-40.5975,10.1212,97.1874,,0.0,0.0
54,911.0,11.3794,-40.4395,10.1167,97.448,,0.0,0.0
55,911.5,11.2699,-40.4002,10.1053,97.6491,,0.0,0.0
56,912.0,11.2106,-40.502,10.0932,97.8636,,0.0,0.0
57,912.5,11.1947,-40.8661,10.0811,98.2639,,0.0,0.0
58,913.0,11.1668,-41.3412,10.069,98.255,,0.0,0.0
59,913.5,11.1349,-41.4983,10.0569,98.246,,0.0,0.0
60,914.0,11.1535,-41.3735,10.0448,98.2371,,0.0,0.0
61,914.5,11.182,-41.356,10.0327,97.9625,,0.0,0.0
62,915.0,11.2313,-41.3699,10.0504,97.6587,,0.0,0.0
63,915.5,11.2676,-41.2064,10.0846,97.4718,,0.0,0.0
